"","Sub_Transect_Number","Survey_Date","Year","Latitude_DD","Longitude_DD","Transect_Location","Watermass_Strata","Depth_Strata","Depth_Continuous","Substrate_Type","Ledge","Boulder","Cobble","Gravel","Mud","Bottom_Salinity_HYCOM","Bottom_Temperature_HYCOM","Bottom_Velocity_HYCOM","Bottom_Direction_HYCOM","Shannon.Weiner_Diversity","Assemblage_Density_per_100sqm","Assemblage_Biomass_kg_per_100sqm","Economic_Value_per_100sqm","Demersal_Fish_Density_per_100sqm","Mobile_Benthic_Invertebrate_Density_per_100sqm","Sessile_Invertebrate_Density_per_100sqm","Radiated_Shanny","Red_Hake","White_Hake","Cunner","Alligatorfish","Atlantic_Cod","Witch_Flounder","Snakeblenny","Silver_Hake","American_Plaice","Longhorn_Sculpin","Shorthorn_Sculpin","Pollock","Acadian_Redfish","Green_Sea_Urchin","Northern_Seastar","Blood_Star","American_Lobster","Jonah_Crab","Atlantic_Rock_Crab","Common_Sand_Dollar","Northern_Shrimp","Giant_Sea_Scallop","Sea_Potato","Pacific_Orange_Crust","Northern_Cerianthid","Boring_Sponge","White_Crust_Tunicate","Breadcrumb_Sponge","Finger_Sponge","Hydroid_sp","Iophon_Sponge","Palmate_Sponge","Clonal_Plumose_Anemone","Red_Beard_Sponge","Northern_Horse_Mussel","Sabellid_Worm","Polymastia_Sponge","Porifera_sp","Fig_Sponge","Northern_Lampshell","Tunicate_sp","Northern_Red_Anemone","Region","Segment_Area_sqm"
"11",1069,"7/16/2013 0:00",2013,43.679059,-70.0652,"100 ft off Jewel Island","WMCC",30,28,"ledge",1,0,0,0,0,32.3059998,7.084000111,0.0090554,354,0.683739,48.082656,55.2201695,1334.352985,0,48.0826559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3425173,5.3425173,0,0,0,0,37.3976213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Casco Bay",18.717768
"12",208.3,"8/22/2011 0:00",2011,43.769903,-69.322272,"Barrel 3","WMCC",30,24,"gravel",0,0,0,1,0,31.8880005,6.40899992,0.0092195,103,0.691603,67.0657522,49.3208221,1239.566331,0,35.3958137,31.6699386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3958137,0,0,0,0,0,0,0,0,0,0,0,0,31.6699386,0,0,0,0,0,0,0,"Midcoast",53.6786643
"13",1222,"8/19/2013 0:00",2013,43.75975,-69.33205,"Monhegan Cable Route","WMCC",30,39,"gravel",0,0,0,1,0,32.7509995,6.390999794,0.0322025,64,0.562335,44.9725455,46.99884,1181.208611,0,33.7294091,11.2431364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7294091,0,0,11.2431364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",8.894315313
"14",1046,"7/17/2013 0:00",2013,43.645257,-70.01751,"Halfway Ledge","WMCC",60,42,"gravel",0,0,0,1,0,32.2999992,7.342999935,0.0042426,45,0.690186,59.155227,44.3839775,1115.490007,0,31.8528145,27.3024124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8528145,0,0,27.3024124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Casco Bay",21.97608
"15",873,"7/16/2013 0:00",2013,43.674986,-70.017299,"100 ft off Drunken Ledge","WMCC",30,34,"gravel",0,0,0,1,0,32.3069992,7.169000149,0.009434,328,0.385682,243.5664362,43.9946764,1105.705814,0,31.5734269,211.9930092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.5734269,0,0,211.9930092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Casco Bay",22.1705424
"16",1065,"7/16/2013 0:00",2013,43.678987,-70.064753,"100 ft off Jewel Island","WMCC",30,27,"ledge",1,0,0,0,0,32.3059998,7.084000111,0.0090554,354,0.365615,672.1231485,43.9278512,1086.399929,5.1701781,36.1912465,625.591546,0,0,0,5.1701781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1701781,0,0,0,31.0210684,0,0,0,0,5.1701781,0,0,0,0,0,0,0,0,0,0,0,0,620.4213679,0,0,"Casco Bay",19.3416936
"17",1068,"7/16/2013 0:00",2013,43.67903,-70.065101,"100 ft off Jewel Island","WMCC",30,28,"ledge",1,0,0,0,0,32.3059998,7.084000111,0.0090554,354,0.406129,403.2738891,43.2735096,1086.399929,0,36.1912465,367.0826427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1701781,0,0,0,31.0210684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.9124646,0,5.1701781,"Casco Bay",19.3416936
"18",829,"7/10/2013 0:00",2013,43.890179,-69.338507,"The Keg","WMCC",30,18,"cobble",0,0,1,0,0,32.3470001,7.326000214,0.0140357,274,1.371381,111.3181864,41.0083601,1026.060339,0,52.7296673,58.5885192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4354077,0,0,0,29.2942596,0,0,0,0,35.1531115,0,0,0,0,0,0,0,23.4354077,0,0,0,0,0,0,0,"Midcoast",17.0681904
"19",659.5,"9/3/2012 0:00",2012,43.908456,-68.871878,"Matinicus North","EMCC",30,36,"gravel",0,0,0,1,0,32.8110008,9.206000328,0.0070711,225,1.464483,162.275357,43.9906052,997.1330446,0,37.8642499,124.4111071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8183571,0,0,0,0,27.0458928,0,27.0458928,0,0,81.1376785,0,0,0,0,0,0,0,0,0,5.4091786,0,5.4091786,0,0,5.4091786,"Hurricane Island Area",18.48709536
"20",825,"7/10/2013 0:00",2013,43.865445,-69.330923,"Alan Island","WMCC",30,26,"cobble",0,0,1,0,0,32.3470001,7.326000214,0.0140357,274,1.14906,48.1654809,44.2439099,986.5802106,5.3517201,42.8137608,0,0,0,0,5.3517201,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7034402,5.3517201,0,0,0,26.7586005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",18.68558112
"21",828,"7/10/2013 0:00",2013,43.890145,-69.33822,"The Keg","WMCC",30,20,"cobble",0,0,1,0,0,32.3470001,7.326000214,0.0140357,274,0.450561,31.5344088,39.6764173,944.5649536,0,31.5344088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2557348,0,0,0,0,26.278674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",19.0268352
"22",989,"7/10/2013 0:00",2013,43.870378,-69.331867,"Alan Island","WMCC",30,27,"mud",0,0,0,0,1,32.3470001,7.326000214,0.0140357,274,1.011404,53.7720664,37.4632229,941.5526317,0,53.7720664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9240221,8.9620111,0,0,0,0,0,26.8860332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",11.15820984
"23",506.75,"8/30/2012 0:00",2012,44.713567,-67.10435,"Light Bulb Cove","EMCC",30,26,"cobble",0,0,1,0,0,32.9770012,8.265999794,0.003,180,0.691761,55.7180184,36.7758718,924.2776302,0,26.3927456,29.3252728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3927456,29.3252728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cutler",34.10027949
"24",884,"7/10/2013 0:00",2013,43.861642,-69.329609,"Alan Island","WMCC",30,27,"ledge",1,0,0,0,0,32.3470001,7.326000214,0.0140357,274,1.025942,147.5343737,34.2626045,861.1123904,0,29.5068748,118.027499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9178125,0,0,0,0,0,24.5890623,0,0,0,0,14.7534374,4.9178125,0,98.3562491,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",20.33424432
"25",827,"7/10/2013 0:00",2013,43.880122,-69.337622,"Sealledge","WMCC",30,24,"cobble",0,0,1,0,0,32.3470001,7.326000214,0.0140357,274,0.735622,36.0215184,35.8240432,859.5065097,0,32.0191274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0023909,4.0023909,0,0,0,24.0143456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",24.9850656
"26",872,"7/16/2013 0:00",2013,43.674966,-70.017216,"100 ft off Drunken Ledge","WMCC",30,34,"gravel",0,0,0,1,0,32.3069992,7.169000149,0.009434,328,0.463655,180.2391628,29.9867217,704.8845671,0,24.3566436,155.8825191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8713287,0,0,0,0,19.4853149,0,0,155.8825191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Casco Bay",20.52828
"27",588,"8/30/2012 0:00",2012,44.629983,-67.249694,"Cape Washington","EMCC",30,22,"cobble",0,0,1,0,0,32.9770012,8.265999794,0.003,180,0,23.2050516,27.7149535,696.5521222,0,19.8900442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8900442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cutler",30.16584547
"28",980,"7/10/2013 0:00",2013,43.860485,-69.329373,"Alan Island","WMCC",30,34,"mud",0,0,0,0,1,32.3470001,7.326000214,0.0140357,274,0.562335,24.7984875,25.9158145,651.3348679,0,18.5988656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5988656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",16.130016
"29",1132,"7/16/2013 0:00",2013,43.679349,-70.066145,"100 ft off Jewel Island","WMCC",30,29,"mud",0,0,0,0,1,32.3059998,7.084000111,0.0090554,354,0.717962,181.9343741,26.8909068,626.8418315,0,25.9906248,155.9437492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3317708,4.3317708,0,0,0,17.3270832,0,0,0,0,8.6635416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.2802076,"Casco Bay",23.0852472
"30",1040,"7/16/2013 0:00",2013,43.679533,-70.067008,"100 ft off Jewel Island","WMCC",30,29,"gravel",0,0,0,1,0,32.3059998,7.084000111,0.0090554,354,0.950271,29.6806519,25.6213202,623.6957261,5.9361304,23.7445215,0,0,0,0,5.9361304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9361304,0,0,0,17.8083911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Casco Bay",16.8459912
"31",834,"7/10/2013 0:00",2013,43.847777,-69.333363,"Little Egg 3","WMCC",30,32,"gravel",0,0,0,1,0,32.3470001,7.326000214,0.0140357,274,0,17.5765557,24.4913194,615.5334335,0,17.5765557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5765557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",17.0681904
"32",1237,"8/19/2013 0:00",2013,43.7673,-69.3254,"Monhegan Cable Route","WMCC",30,27,"gravel",0,0,0,1,0,32.7509995,6.390999794,0.0322025,64,0,17.391085,24.232883,609.038223,0,17.391085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.391085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",34.50043509
"33",1238,"8/19/2013 0:00",2013,43.767296,-69.325298,"Monhegan Cable Route","WMCC",30,27,"gravel",0,0,0,1,0,32.7509995,6.390999794,0.0322025,64,0.450561,19.8755257,25.0072756,595.3409544,0,19.8755257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3125876,0,0,0,0,16.5629381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",30.1878807
"34",981,"7/10/2013 0:00",2013,43.860533,-69.32947,"Alan Island","WMCC",30,32,"mud",0,0,0,0,1,32.3470001,7.326000214,0.0140357,274,0,16.6912897,23.2577823,584.5312917,0,16.6912897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6912897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",17.9734464
"35",616.5,"8/30/2012 0:00",2012,44.63674,-67.245758,"Little Machias Bay","EMCC",30,21,"mud",0,0,0,0,1,32.9770012,8.265999794,0.003,180,0.348832,20.3521857,22.6972828,570.1982872,0,18.3169671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2817485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cutler",49.13477183
"36",877,"7/17/2013 0:00",2013,43.681165,-70.042211,"Harpswell Casco Bay","WMCC",60,43,"gravel",0,0,0,1,0,32.3030014,7.164000034,0.001,270,1.082196,43.3901788,24.8406615,569.9030743,16.2713171,27.1188618,0,0,0,0,16.2713171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8475447,0,0,0,16.2713171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Casco Bay",18.437352
"37",592,"8/30/2012 0:00",2012,44.627772,-67.241274,"Cape Washington","EMCC",30,28,"gravel",0,0,0,1,0,32.9770012,8.265999794,0.003,180,0,15.6421801,21.7959442,547.7913284,0,15.6421801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6421801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cutler",44.75079534
"38",589.5,"8/30/2012 0:00",2012,44.62987,-67.248528,"Cape Washington","EMCC",30,26,"cobble",0,0,1,0,0,32.9770012,8.265999794,0.003,180,0,14.6147852,20.3643636,511.8118166,0,14.6147852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6147852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cutler",27.36954352
"39",998,"7/10/2013 0:00",2013,43.880496,-69.338041,"Sealledge","WMCC",30,24,"mud",0,0,0,0,1,32.3470001,7.326000214,0.0140357,274,0.950271,23.8073254,19.9424958,500.2763132,0,23.8073254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7614651,0,4.7614651,0,0,0,14.2843952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",21.0019392
"40",507,"8/30/2012 0:00",2012,44.713917,-67.10378,"Light Bulb Cove","EMCC",30,26,"cobble",0,0,1,0,0,32.9770012,8.265999794,0.003,180,0.167944,356.0925988,19.8472959,498.8164989,0,14.243704,341.8488948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.243704,341.8488948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cutler",28.08258311
"41",831,"7/16/2013 0:00",2013,43.671988,-70.005857,"100 ft off Drunken Ledge","WMCC",30,36,"cobble",0,0,1,0,0,32.3069992,7.169000149,0.009434,328,0.831832,151.7544805,23.9269041,483.1330064,36.788965,13.7958619,101.1696536,0,0,0,36.788965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7958619,0,0,101.1696536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Casco Bay",21.7456512
"42",352,"6/21/2012 0:00",2012,43.862428,-69.540978,"John's Bay","WMCC",30,19,"gravel",0,0,0,1,0,31.7530003,13.97700024,0,180,0.796312,95.1725094,27.7464128,476.2357348,67.9803639,27.1921456,0,0,0,0,67.9803639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5960728,0,0,0,13.5960728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",7.355065075
"43",1130,"7/16/2013 0:00",2013,43.67929,-70.065902,"100 ft off Jewel Island","WMCC",30,29,"mud",0,0,0,0,1,32.3059998,7.084000111,0.0090554,354,0.562335,17.3270832,20.6294081,475.1109537,0,17.3270832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3317708,0,0,0,0,12.9953124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Casco Bay",23.0852472
"44",213,"7/20/2011 0:00",2011,43.851619,-69.539806,"Inner John's Bay","WMCC",30,26,"cobble",0,0,1,0,0,31.4799995,15.63199997,0,180,1.353591,26.1432355,20.9326666,473.4564935,3.2679044,16.3395222,4.9018567,0,0,0,3.2679044,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2679044,0,0,0,0,13.0716178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9018567,0,0,0,"Midcoast",61.2013
"45",645,"9/2/2012 0:00",2012,44.216239,-68.238932,"100ft Soft MDI","EMCC",30,23,"cobble",0,0,1,0,0,32.3009987,12.96000004,0.007,360,1.366711,51.5114823,26.5721742,471.571169,0,36.793916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.396958,0,0,3.6793916,0,11.0381748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MDI",27.1784064
"46",214,"7/12/2011 0:00",2011,43.770603,-69.604864,"East Damariscove Island","WMCC",30,27,"mud",0,0,0,0,1,31.5839996,9.961000443,0.0420595,28,0.7464,210.5338349,20.1593429,471.0216476,0,165.4194417,35.7155613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8797664,0,0,0,150.3813106,13.1583647,0,0,35.7155613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",53.1981
"47",837,"7/10/2013 0:00",2013,43.8482,-69.334357,"Little Egg 3","WMCC",30,32,"gravel",0,0,0,1,0,32.3470001,7.326000214,0.0140357,274,0,12.8516752,17.9076314,450.0674567,0,12.8516752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8516752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",15.5621736
"48",1125,"7/16/2013 0:00",2013,43.679112,-70.065388,"100 ft off Jewel Island","WMCC",30,29,"mud",0,0,0,0,1,32.3059998,7.084000111,0.0090554,354,0.693147,25.6440832,17.9700164,449.1233981,0,25.6440832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8220416,0,0,0,12.8220416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Casco Bay",15.59814
"49",221.6,"8/22/2011 0:00",2011,43.772851,-69.316327,"Barrel 3","WMCC",30,28,"mud",0,0,0,0,1,32.0169983,6.171000004,0.003,90,0.610864,17.1963467,19.7761992,445.3876767,0,17.1963467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.158904,0,0,0,0,12.0374427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",58.15188633
"50",613,"8/30/2012 0:00",2012,44.637167,-67.247167,"Little Machias Bay","EMCC",30,21,"mud",0,0,0,0,1,32.9770012,8.265999794,0.003,180,0.500402,14.9866095,18.4507888,433.7145088,0,14.9866095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9973219,0,0,0,0,11.9892876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cutler",33.36311667
"51",208.2,"8/22/2011 0:00",2011,43.769791,-69.322547,"Barrel 3","WMCC",30,24,"gravel",0,0,0,1,0,31.8880005,6.40899992,0.0092195,103,0.559656,137.7289011,18.5003269,431.9359993,10.2782762,12.3339314,115.1166935,0,0,0,10.2782762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3339314,0,0,0,0,0,0,0,0,0,0,0,0,115.1166935,0,0,0,0,0,0,0,"Midcoast",48.64628953
"52",656.5,"9/3/2012 0:00",2012,43.876536,-68.850262,"Matinicus East","EMCC",30,39,"gravel",0,0,0,1,0,32.6710014,8.803999901,0.0184391,283,1.536722,52.7132072,20.1536164,430.3956808,0,22.5913746,26.3566036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5304582,3.7652291,0,0,0,11.2956873,0,0,22.5913745,0,0,0,0,0,0,0,3.7652291,0,0,0,0,0,0,0,0,0,"Hurricane Island Area",26.55880896
"53",217.15,"7/11/2011 0:00",2011,43.805068,-69.582605,"The Hypocrits","WMCC",30,39,"gravel",0,0,0,1,0,31.5839996,9.961000443,0.0420595,28,0.59827,42.3056584,16.8425878,423.3000162,0,12.087331,30.2183274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.087331,0,0,30.2183274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",33.0925
"54",1041,"7/16/2013 0:00",2013,43.679604,-70.067236,"100 ft off Jewel Island","WMCC",30,30,"gravel",0,0,0,1,0,32.3059998,7.084000111,0.0090554,354,1.039721,23.7445215,17.3018682,415.768227,5.9361304,11.8722607,5.9361304,0,0,0,5.9361304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8722607,0,0,0,0,5.9361304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Casco Bay",16.8459912
